Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
5, 1, Settle New City running, TARGET 65:32
5, 1, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 1, Naval Superiority running, TARGET 69:34
5, 1, Naval Superiority, ,0, Not Ready, 
5, 1, Settle New City, No recruits to reach minimum, , , 
5, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 1, Settle New City, No recruits to reach minimum, , , 
5, 1, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 1, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 1, Settle New City, Operation Move, UNIT_SETTLER, 66:33, 65:32, 65:33
5, 1, Settle New City, Operation Move, UNIT_WARRIOR, 65:33, 65:32, 65:33
5, 1, Naval Superiority, No recruits to reach minimum, , , 
5, 1, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 2, Settle New City, Started
5, 2, Settle New City running, TARGET 64:24
5, 2, Settle New City, ,0, Not Ready, 
5, 2, Naval Superiority running, TARGET 61:23
5, 2, Naval Superiority, ,0, Not Ready, 
5, 2, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
5, 2, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
5, 2, Settle New City, No recruits to reach minimum, , , 
5, 2, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
5, 2, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
5, 2, Settle New City, Operation Move, UNIT_WARRIOR, 62:21, 62:22, 62:22
5, 2, Naval Superiority, No recruits to reach minimum, , , 
5, 2, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
5, 3, Settle New City running, TARGET 11:23
5, 3, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
5, 3, Naval Superiority running, TARGET 9:26
