Game Turn, Player, Action, Tech, Score, Boost, Turns
5, 0, Tech, TECH_POTTERY, 0.0, OWNED, -1
5, 0, Tech, TECH_ANIMAL_HUSBANDRY, 236.1, , 6
5, 0, Tech, TECH_MINING, 186.6, RESEARCHING, 5
5, 0, Tech, TECH_SAILING, 192.9, , 11
5, 0, Tech, TECH_ASTROLOGY, 209.1, , 11
5, 0, Tech, TECH_IRRIGATION, 211.9, BOOSTED, 7
5, 0, Tech, TECH_ARCHERY, 620.1, , 17
5, 0, Tech, TECH_WRITING, 0.0, OWNED, -1
5, 0, Tech, TECH_MASONRY, 339.2, , 22
5, 0, Tech, TECH_BRONZE_WORKING, 492.5, , 22
5, 0, Tech, TECH_THE_WHEEL, 483.9, , 22
5, 0, Tech, TECH_CELESTIAL_NAVIGATION, 530.6, , 48
5, 0, Tech, TECH_CURRENCY, 283.1, , 26
5, 0, Tech, TECH_HORSEBACK_RIDING, 697.3, , 43
5, 0, Tech, TECH_IRON_WORKING, 858.1, , 48
5, 0, Tech, TECH_SHIPBUILDING, 304.9, , 54
5, 0, Tech, TECH_MATHEMATICS, 213.0, , 69
5, 0, Tech, TECH_ENGINEERING, 552.9, , 65
5, 0, Tech, TECH_MILITARY_TACTICS, -9786.0, , 133
5, 0, Tech, TECH_BUTTRESS, -9481.1, , 187
5, 1, Tech, TECH_POTTERY, 255.7, RESEARCHING, 3
5, 1, Tech, TECH_ANIMAL_HUSBANDRY, 229.7, , 7
5, 1, Tech, TECH_MINING, 176.6, , 7
5, 1, Tech, TECH_SAILING, 455.0, BOOSTED, 9
5, 1, Tech, TECH_ASTROLOGY, 191.8, , 14
5, 1, Tech, TECH_IRRIGATION, 432.2, , 17
5, 1, Tech, TECH_ARCHERY, 607.9, , 21
5, 1, Tech, TECH_WRITING, 829.1, GOAL, 17
5, 1, Tech, TECH_MASONRY, 308.2, , 30
5, 1, Tech, TECH_BRONZE_WORKING, 455.0, , 30
5, 1, Tech, TECH_THE_WHEEL, 455.8, , 30
5, 1, Tech, TECH_CELESTIAL_NAVIGATION, 734.1, , 57
5, 1, Tech, TECH_CURRENCY, 872.0, , 51
5, 1, Tech, TECH_HORSEBACK_RIDING, 665.2, , 55
5, 1, Tech, TECH_IRON_WORKING, 737.5, , 64
5, 1, Tech, TECH_SHIPBUILDING, 536.3, , 65
5, 1, Tech, TECH_ENGINEERING, 578.3, , 86
5, 1, Tech Contract 12, TECH_WRITING, 329.0
5, 1, Tech Contract 13, TECH_IRRIGATION, 4.0
5, 1, Tech Contract 14, TECH_ENGINEERING, 100.0
5, 2, Tech, TECH_POTTERY, 255.7, , 3
5, 2, Tech, TECH_ANIMAL_HUSBANDRY, 191.6, , 4
5, 2, Tech, TECH_MINING, 278.6, , 4
5, 2, Tech, TECH_SAILING, 434.3, BOOSTED, 5
5, 2, Tech, TECH_ASTROLOGY, 1428.1, RESEARCHING, 6
5, 2, Tech, TECH_IRRIGATION, 454.6, , 10
5, 2, Tech, TECH_ARCHERY, 548.4, , 11
5, 2, Tech, TECH_WRITING, 537.6, , 10
5, 2, Tech, TECH_MASONRY, 372.0, , 16
5, 2, Tech, TECH_BRONZE_WORKING, 527.4, , 16
5, 2, Tech, TECH_THE_WHEEL, 499.5, , 16
5, 2, Tech, TECH_CELESTIAL_NAVIGATION, 995.4, , 28
5, 2, Tech, TECH_CURRENCY, 718.8, , 27
5, 2, Tech, TECH_HORSEBACK_RIDING, 671.9, , 28
5, 2, Tech, TECH_IRON_WORKING, 742.9, , 33
5, 2, Tech, TECH_SHIPBUILDING, 703.0, , 33
5, 2, Tech, TECH_ENGINEERING, 725.9, , 44
5, 2, Tech Contract 16, TECH_MINING, 87.0
5, 2, Tech Contract 18, TECH_ASTROLOGY, 343.0
5, 2, Tech Contract 19, TECH_ASTROLOGY, 740.0
5, 3, Tech, TECH_POTTERY, 708.0, , 7
5, 3, Tech, TECH_ANIMAL_HUSBANDRY, 239.5, RESEARCHING, 4
5, 3, Tech, TECH_MINING, 220.9, , 7
5, 3, Tech, TECH_SAILING, 1004.9, BOOSTED, 9
5, 3, Tech, TECH_ASTROLOGY, 624.1, , 14
5, 3, Tech, TECH_IRRIGATION, 449.4, , 21
