Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
5, 1, Wander, , , UNIT_WARRIOR (131073), Move To: 69 32
5, 1, HL: Explore, , , UNIT_WARRIOR (262147), Move To: 68 30
5, 1, HL: Explore cur region, , , UNIT_WARRIOR (327684), Move To: 65 30
5, 1, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 63 39
5, 1, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 62 39
5, 1, HL: End Turn, , , UNIT_WARRIOR (262147)
5, 1, HL: End Turn, , , UNIT_WARRIOR (327684)
5, 1, HL: End Turn, , , UNIT_WARRIOR (393221)
5, 1, HL: End Turn, , , UNIT_BUILDER (524295)
5, 2, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (327684), Available Units: 1
5, 2, Wander, , , UNIT_WARRIOR (131073), Move To: 62 17
5, 2, Wander, , , UNIT_WARRIOR (196610), Move To: 59 18
5, 3, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (327684), Available Units: 1
5, 3, Wander, , , UNIT_WARRIOR (131073), Move To: 9 24
5, 3, HL: Explore, , , UNIT_WARRIOR (262147), Move To: 12 26
5, 3, HL: End Turn, , , UNIT_WARRIOR (262147)
5, 3, HL: End Turn, , , UNIT_BUILDER (524295)
5, 4, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (917517), UNIT_WARRIOR (262147), Expected Damage: 0, Move 67 6 Attack 67 5
5, 4, Wander, , , UNIT_WARRIOR (196610), Move To: 67 13
5, 4, HL: Explore, , , UNIT_WARRIOR (327684), Move To: 69 16
5, 4, HL: Explore cur region, , , UNIT_WARRIOR (393221), Move To: 65 14
5, 4, HL: End Turn, , , UNIT_WARRIOR (327684)
5, 4, HL: End Turn, , , UNIT_WARRIOR (393221)
5, 5, Wander, , , UNIT_WARRIOR (196610), Move To: 25 25
5, 5, HL: Explore fallback, , , UNIT_SCOUT (589824), Move To: 24 26
5, 5, HL: Explore fallback, , , UNIT_WARRIOR (262147), Move To: 24 23
5, 5, HL: Explore fallback, , , UNIT_WARRIOR (327684), Move To: 20 23
5, 5, HL: Explore fallback, , , UNIT_WARRIOR (393221), Move To: 25 24
5, 5, HL: End Turn, , , UNIT_SCOUT (589824)
5, 5, HL: End Turn, , , UNIT_WARRIOR (262147)
5, 5, HL: End Turn, , , UNIT_WARRIOR (327684)
5, 5, HL: End Turn, , , UNIT_WARRIOR (393221)
5, 5, HL: End Turn, , , UNIT_BUILDER (524295)
5, 6, Wander, , , UNIT_WARRIOR (262147), Move To: 15 46
5, 6, HL: Explore, , , UNIT_WARRIOR (327684), Move To: 23 45
5, 6, HL: Explore cur region, , , UNIT_WARRIOR (393221), Move To: 16 47
5, 6, HL: End Turn, , , UNIT_WARRIOR (327684)
5, 6, HL: End Turn, , , UNIT_WARRIOR (393221)
5, 7, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (262147), Available Units: 1
5, 7, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (262147), Available Units: 1
5, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 32 13
5, 8, HL: Explore, , , UNIT_WARRIOR (196610), Move To: 37 17
5, 8, HL: Explore cur region, , , UNIT_WARRIOR (262147), Move To: 37 12
5, 8, HL: Explore secondary regions, , , UNIT_WARRIOR (327684), Move To: 28 15
5, 8, HL: End Turn, , , UNIT_WARRIOR (196610)
5, 8, HL: End Turn, , , UNIT_WARRIOR (262147)
5, 8, HL: End Turn, , , UNIT_WARRIOR (327684)
5, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 81 34
5, 9, HL: Explore, , , UNIT_WARRIOR (196610), Move To: 80 41
5, 9, HL: Explore cur region, , , UNIT_WARRIOR (262147), Move To: 86 35
5, 9, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 85 30
5, 9, HL: End Turn, , , UNIT_WARRIOR (196610)
5, 9, HL: End Turn, , , UNIT_WARRIOR (262147)
5, 9, HL: End Turn, , , UNIT_WARRIOR (393221)
5, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 11 48
5, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 14 52
5, 10, Wander, , , UNIT_WARRIOR (262147), Move To: 15 44
5, 10, Wander, , , UNIT_WARRIOR (327684), Move To: 12 50
5, 10, Wander, , , UNIT_WARRIOR (393221), Move To: 14 44
5, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 81 14
5, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 81 15
5, 11, Wander, , , UNIT_WARRIOR (262147), Move To: 80 15
5, 11, Wander Back to City, , , UNIT_WARRIOR (327684), Move To: 83 16
5, 11, Wander, , , UNIT_WARRIOR (393221), Move To: 83 16
5, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 55 26
5, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 55 28
5, 12, Wander, , , UNIT_WARRIOR (262147), Move To: 59 27
5, 12, Wander, , , UNIT_WARRIOR (327684), Move To: 57 27
5, 12, Wander, , , UNIT_WARRIOR (393221), Move To: 59 25
5, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 28 47
5, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 30 46
5, 13, Wander, , , UNIT_WARRIOR (262147), Move To: 31 44
5, 13, Wander, , , UNIT_WARRIOR (327684), Move To: 31 43
5, 13, Wander, , , UNIT_WARRIOR (393221), Move To: 32 47
5, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 77 23
5, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 79 23
5, 14, Wander, , , UNIT_WARRIOR (262147), Move To: 77 26
5, 14, Wander, , , UNIT_WARRIOR (327684), Move To: 78 21
5, 14, Wander, , , UNIT_WARRIOR (393221), Move To: 78 26
5, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 62 15
5, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 63 17
5, 15, Wander, , , UNIT_WARRIOR (262147), Move To: 64 16
5, 15, Wander, , , UNIT_WARRIOR (327684), Move To: 65 17
5, 15, Wander, , , UNIT_WARRIOR (393221), Move To: 64 18
5, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 26 17
5, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 29 11
5, 16, Wander, , , UNIT_WARRIOR (262147), Move To: 32 15
5, 16, Wander, , , UNIT_WARRIOR (327684), Move To: 28 11
5, 16, Wander, , , UNIT_WARRIOR (393221), Move To: 29 12
5, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 93 26
5, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 94 23
5, 17, Wander, , , UNIT_WARRIOR (262147), Move To: 92 24
5, 17, Wander, , , UNIT_WARRIOR (327684), Move To: 1 24
5, 17, Wander, , , UNIT_WARRIOR (393221), Move To: 95 23
5, 18, Wander, , , UNIT_WARRIOR (131073), Move To: 24 14
5, 18, Wander, , , UNIT_WARRIOR (196610), Move To: 26 20
5, 18, Wander, , , UNIT_WARRIOR (262147), Move To: 28 16
5, 18, Wander, , , UNIT_WARRIOR (327684), Move To: 27 17
5, 18, Wander, , , UNIT_WARRIOR (393221), Move To: 26 19
5, 19, Wander, , , UNIT_WARRIOR (131073), Move To: 13 22
5, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 19 26
5, 19, Wander, , , UNIT_WARRIOR (262147), Move To: 16 23
5, 19, Wander, , , UNIT_WARRIOR (327684), Move To: 13 24
5, 19, Wander, , , UNIT_WARRIOR (393221), Move To: 17 25
5, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 49 28
5, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 50 30
5, 20, Wander, , , UNIT_WARRIOR (262147), Move To: 47 29
5, 20, Wander, , , UNIT_WARRIOR (327684), Move To: 46 29
5, 20, Wander, , , UNIT_WARRIOR (393221), Move To: 48 29
5, 21, Wander, , , UNIT_WARRIOR (131073), Move To: 92 36
5, 21, Wander, , , UNIT_WARRIOR (196610), Move To: 94 36
5, 21, Wander, , , UNIT_WARRIOR (262147), Move To: 95 40
5, 21, Wander, , , UNIT_WARRIOR (327684), Move To: 91 37
5, 21, Wander, , , UNIT_WARRIOR (393221), Move To: 93 38
5, 22, Heal, , , UNIT_WARRIOR (327684), 
5, 22, Wander, , , UNIT_WARRIOR (196610), Move To: 39 37
5, 22, Wander, , , UNIT_WARRIOR (262147), Move To: 37 39
5, 22, Wander, , , UNIT_WARRIOR (393221), Move To: 40 38
5, 23, Wander, , , UNIT_WARRIOR (131073), Move To: 81 41
5, 23, Wander, , , UNIT_WARRIOR (196610), Move To: 83 40
5, 23, Wander, , , UNIT_WARRIOR (262147), Move To: 81 44
5, 23, Wander, , , UNIT_WARRIOR (327684), Move To: 80 43
5, 23, Wander, , , UNIT_WARRIOR (393221), Move To: 82 44
5, 24, Wander, , , UNIT_WARRIOR (131073), Move To: 43 15
5, 24, Wander, , , UNIT_WARRIOR (196610), Move To: 42 14
5, 24, Wander, , , UNIT_WARRIOR (262147), Move To: 41 13
5, 24, Wander, , , UNIT_WARRIOR (327684), Move To: 44 13
5, 24, Wander, , , UNIT_WARRIOR (393221), Move To: 45 13
5, 25, Wander, , , UNIT_WARRIOR (131073), Move To: 33 10
5, 25, Wander, , , UNIT_WARRIOR (196610), Move To: 34 10
5, 25, Wander, , , UNIT_WARRIOR (262147), Move To: 40 9
5, 25, Wander, , , UNIT_WARRIOR (327684), Move To: 37 9
5, 25, Wander, , , UNIT_WARRIOR (393221), Move To: 36 10
5, 26, Wander, , , UNIT_WARRIOR (131073), Move To: 75 37
5, 26, Wander, , , UNIT_WARRIOR (196610), Move To: 76 39
5, 26, Wander, , , UNIT_WARRIOR (262147), Move To: 75 39
5, 26, Wander, , , UNIT_WARRIOR (327684), Move To: 76 38
5, 26, Wander, , , UNIT_WARRIOR (393221), Move To: 78 38
5, 27, Wander, , , UNIT_WARRIOR (131073), Move To: 14 29
5, 27, Wander, , , UNIT_WARRIOR (196610), Move To: 16 27
5, 27, Wander, , , UNIT_WARRIOR (262147), Move To: 13 26
5, 27, Wander, , , UNIT_WARRIOR (327684), Move To: 13 27
5, 27, Wander Back to City, , , UNIT_WARRIOR (393221), Move To: 13 31
5, 28, Wander, , , UNIT_WARRIOR (131073), Move To: 48 41
5, 28, Wander, , , UNIT_WARRIOR (196610), Move To: 47 38
5, 28, Wander, , , UNIT_WARRIOR (262147), Move To: 49 38
5, 28, Wander, , , UNIT_WARRIOR (327684), Move To: 48 39
5, 28, Wander, , , UNIT_WARRIOR (393221), Move To: 47 41
5, 29, Wander, , , UNIT_WARRIOR (131073), Move To: 86 21
5, 29, Wander, , , UNIT_WARRIOR (196610), Move To: 86 23
5, 29, Wander, , , UNIT_WARRIOR (262147), Move To: 87 24
5, 29, Wander, , , UNIT_WARRIOR (327684), Move To: 89 23
5, 29, Wander, , , UNIT_WARRIOR (393221), Move To: 85 23
5, 30, Attack Units, TARGET_HIGH_PRIORITY_UNIT, UNIT_SCOUT (131073), UNIT_WARRIOR (196610), Expected Damage: 0, Move 76 30 Attack 77 30
5, 30, Wander, , , UNIT_WARRIOR (131073), Move To: 74 34
5, 30, Wander, , , UNIT_WARRIOR (262147), Move To: 76 37
5, 30, Wander, , , UNIT_WARRIOR (327684), Move To: 76 36
5, 30, Wander, , , UNIT_WARRIOR (393221), Move To: 76 32
5, 31, Wander, , , UNIT_WARRIOR (131073), Move To: 81 45
5, 31, Wander, , , UNIT_WARRIOR (196610), Move To: 79 45
5, 31, Wander, , , UNIT_WARRIOR (262147), Move To: 82 45
5, 31, Wander, , , UNIT_WARRIOR (327684), Move To: 81 49
5, 31, Wander, , , UNIT_WARRIOR (393221), Move To: 82 50
5, 63, Barbarian Rampage, TARGET_LOW_PRIORITY_UNIT, ?, UNIT_SCOUT (655369), 37:39
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (851980), AT: 67 3
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1048591), AT: 93 7
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (1114128), AT: 42 10
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (720906), AT: 21 17
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (196610), AT: 66 26
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (65536), AT: 73 29
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (327684), AT: 19 37
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (458758), AT: 43 51
5, 63, Barb. Camp Defense, TARGET_BARBARIAN_CAMP, , UNIT_SPEARMAN (983054), AT: 84 55
5, 63, HL: Move To Safety, , , UNIT_SCOUT (131073), Move To: 76 29
5, 63, HL: Move To Safety, , , UNIT_SCOUT (917517), Move To: 65 3
5, 63, HL: Explore, , , UNIT_SCOUT (262147), Move To: 69 26
5, 63, HL: Explore, , , UNIT_SCOUT (393221), Move To: 21 43
5, 63, HL: Explore, , , UNIT_SCOUT (524295), Move To: 40 51
5, 63, HL: Explore, , , UNIT_SCOUT (786443), Move To: 20 16
5, 63, HL: End Turn, , , UNIT_SCOUT (262147)
5, 63, HL: End Turn, , , UNIT_SCOUT (393221)
5, 63, HL: End Turn, , , UNIT_SCOUT (524295)
5, 63, HL: End Turn, , , UNIT_SCOUT (786443)
6, 1, Wander, , , UNIT_WARRIOR (131073), Move To: 69 31
6, 1, HL: Explore, , , UNIT_WARRIOR (262147), Move To: 67 29
6, 1, HL: Explore cur region, , , UNIT_WARRIOR (327684), Move To: 64 29
6, 1, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 61 40
6, 1, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 1, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 1, HL: End Turn, , , UNIT_WARRIOR (393221)
6, 2, HL: End Turn, , , UNIT_BUILDER (524295)
6, 3, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (327684), Available Units: 1
6, 3, Wander, , , UNIT_WARRIOR (131073), Move To: 9 23
6, 3, HL: Explore, , , UNIT_WARRIOR (262147), Move To: 12 27
6, 3, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 4, Heal, , , UNIT_WARRIOR (262147), 
6, 4, Wander, , , UNIT_WARRIOR (196610), Move To: 66 11
6, 4, HL: Explore, , , UNIT_WARRIOR (327684), Move To: 68 16
6, 4, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 66 13
6, 4, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 4, HL: End Turn, , , UNIT_WARRIOR (393221)
6, 5, Wander, , , UNIT_WARRIOR (196610), Move To: 25 26
6, 5, HL: Explore fallback, , , UNIT_SCOUT (589824), Move To: 23 25
6, 5, HL: Explore fallback, , , UNIT_WARRIOR (262147), Move To: 25 23
6, 5, HL: Explore fallback, , , UNIT_WARRIOR (327684), Move To: 21 24
6, 5, HL: Explore fallback, , , UNIT_WARRIOR (393221), Move To: 25 25
6, 5, HL: End Turn, , , UNIT_SCOUT (589824)
6, 5, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 5, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 5, HL: End Turn, , , UNIT_WARRIOR (393221)
6, 5, HL: End Turn, , , UNIT_BUILDER (524295)
6, 6, Wander, , , UNIT_WARRIOR (131073), Move To: 17 42
6, 6, Wander, , , UNIT_WARRIOR (196610), Move To: 16 42
6, 6, HL: Explore, , , UNIT_WARRIOR (262147), Move To: 13 46
6, 6, HL: Explore, , , UNIT_WARRIOR (327684), Move To: 24 45
6, 6, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 6, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 7, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_WARRIOR (262147), Available Units: 1
6, 7, Wander, , , UNIT_WARRIOR (196610), Move To: 41 49
6, 7, HL: Explore, , , UNIT_WARRIOR (327684), Move To: 43 47
6, 7, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 31 14
6, 8, HL: Explore cur region, , , UNIT_WARRIOR (196610), Move To: 37 12
6, 8, HL: Explore secondary regions, , , UNIT_WARRIOR (262147), Move To: 28 15
6, 8, HL: Explore cur region, , , UNIT_WARRIOR (327684), Move To: 31 11
6, 8, HL: End Turn, , , UNIT_WARRIOR (196610)
6, 8, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 8, HL: End Turn, , , UNIT_WARRIOR (327684)
6, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 82 34
6, 9, HL: Explore, , , UNIT_WARRIOR (196610), Move To: 81 43
6, 9, HL: Explore cur region, , , UNIT_WARRIOR (262147), Move To: 87 35
6, 9, HL: Explore, , , UNIT_WARRIOR (393221), Move To: 86 30
6, 9, HL: End Turn, , , UNIT_WARRIOR (196610)
6, 9, HL: End Turn, , , UNIT_WARRIOR (262147)
6, 9, HL: End Turn, , , UNIT_WARRIOR (393221)
6, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 11 46
6, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 13 52
6, 10, Wander, , , UNIT_WARRIOR (262147), Move To: 13 45
6, 10, Wander, , , UNIT_WARRIOR (327684), Move To: 11 51
6, 10, Wander, , , UNIT_WARRIOR (393221), Move To: 14 46
6, 11, Wander Back to City, , , UNIT_WARRIOR (131073), Move To: 83 16
6, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 82 15
6, 11, Wander, , , UNIT_WARRIOR (262147), Move To: 80 16
6, 11, Wander Back to City, , , UNIT_WARRIOR (327684), Move To: 83 16
6, 11, Wander Back to City, , , UNIT_WARRIOR (393221), Move To: 83 16
6, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 57 26
6, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 55 26
6, 12, Wander, , , UNIT_WARRIOR (262147), Move To: 58 26
6, 12, Wander, , , UNIT_WARRIOR (327684), Move To: 57 28
6, 12, Wander, , , UNIT_WARRIOR (393221), Move To: 57 25
6, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 29 47
6, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 31 47
6, 13, Wander, , , UNIT_WARRIOR (262147), Move To: 31 45
6, 13, Wander, , , UNIT_WARRIOR (327684), Move To: 31 44
6, 13, Wander, , , UNIT_WARRIOR (393221), Move To: 31 46
6, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 78 24
6, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 80 24
6, 14, Wander, , , UNIT_WARRIOR (262147), Move To: 77 25
6, 14, Wander, , , UNIT_WARRIOR (327684), Move To: 79 23
6, 14, Wander, , , UNIT_WARRIOR (393221), Move To: 78 27
6, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 63 14
6, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 64 17
6, 15, Wander, , , UNIT_WARRIOR (262147), Move To: 62 17
6, 15, Wander, , , UNIT_WARRIOR (327684), Move To: 64 19
6, 15, Wander, , , UNIT_WARRIOR (393221), Move To: 63 16
6, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 27 16
6, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 30 10
6, 16, Wander, , , UNIT_WARRIOR (262147), Move To: 32 14
6, 16, Wander, , , UNIT_WARRIOR (327684), Move To: 29 10
6, 16, Wander, , , UNIT_WARRIOR (393221), Move To: 28 11
6, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 93 25
6, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 93 23
6, 17, Wander, , , UNIT_WARRIOR (262147), Move To: 92 23
6, 17, Wander, , , UNIT_WARRIOR (327684), Move To: 1 25
6, 17, Wander, , , UNIT_WARRIOR (393221), Move To: 95 24
6, 18, Wander, , , UNIT_WARRIOR (131073), Move To: 24 15
6, 18, Wander, , , UNIT_WARRIOR (196610), Move To: 25 20
6, 18, Wander, , , UNIT_WARRIOR (262147), Move To: 29 15
6, 18, Wander, , , UNIT_WARRIOR (327684), Move To: 26 17
6, 18, Wander, , , UNIT_WARRIOR (393221), Move To: 26 18
6, 19, Wander, , , UNIT_WARRIOR (131073), Move To: 12 21
6, 19, Wander, , , UNIT_WARRIOR (196610), Move To: 19 25
6, 19, Wander, , , UNIT_WARRIOR (262147), Move To: 18 22
6, 19, Wander, , , UNIT_WARRIOR (327684), Move To: 14 24
6, 19, Wander, , , UNIT_WARRIOR (393221), Move To: 18 25
6, 20, Wander, , , UNIT_WARRIOR (131073), Move To: 49 27
6, 20, Wander, , , UNIT_WARRIOR (196610), Move To: 49 29
6, 20, Wander, , , UNIT_WARRIOR (262147), Move To: 47 30
6, 20, Wander, , , UNIT_WARRIOR (327684), Move To: 46 30
6, 20, Wander, , , UNIT_WARRIOR (393221), Move To: 49 28
6, 21, Wander, , , UNIT_WARRIOR (131073), Move To: 92 38
6, 21, Wander, , , UNIT_WARRIOR (196610), Move To: 93 37
6, 21, Wander, , , UNIT_WARRIOR (262147), Move To: 94 40
6, 21, Wander, , , UNIT_WARRIOR (327684), Move To: 91 38
6, 21, Wander, , , UNIT_WARRIOR (393221), Move To: 94 38
6, 22, Attack Units, TARGET_LOW_PRIORITY_UNIT, UNIT_SCOUT (655369), UNIT_WARRIOR (262147), Expected Damage: 0, Move 37 39 Attack 36 39
