Game Turn, Player, Strategy, Status
5, 7, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
6, 4, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
6, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
6, 7, STRATEGY_NAVAL, Following
7, 0, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
10, 0, VICTORY_STRATEGY_CULTURAL_VICTORY, Exclusive
10, 0, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Stopped
10, 6, STRATEGY_NAVAL, Following
11, 5, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
11, 6, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
13, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
18, 2, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
21, 0, STRATEGY_EARLY_EXPLORATION, Stopped
21, 1, STRATEGY_EARLY_EXPLORATION, Stopped
21, 2, STRATEGY_EARLY_EXPLORATION, Stopped
21, 3, STRATEGY_EARLY_EXPLORATION, Stopped
21, 6, STRATEGY_EARLY_EXPLORATION, Stopped
21, 7, STRATEGY_EARLY_EXPLORATION, Stopped
21, 8, STRATEGY_EARLY_EXPLORATION, Stopped
21, 9, STRATEGY_EARLY_EXPLORATION, Stopped
22, 8, STRATEGY_NAVAL, Following
23, 0, STRATEGY_CLASSICAL_CHANGES, Following
23, 6, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
24, 8, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
25, 7, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
26, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
27, 0, STRATEGY_RAPID_EXPANSION, Stopped
28, 0, STRATEGY_NAVAL, Following
30, 0, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
30, 8, STRATEGY_CLASSICAL_CHANGES, Following
30, 9, STRATEGY_CLASSICAL_CHANGES, Following
31, 6, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
31, 6, STRATEGY_RAPID_EXPANSION, Stopped
31, 7, STRATEGY_CLASSICAL_CHANGES, Following
32, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
32, 6, STRATEGY_CLASSICAL_CHANGES, Following
