Game Turn, Range, Value, Seed, Type, Location
1, 2, 0, 0, sync, Choosing a random cost for a civic to have
1, 2, 1, 12345, sync, Choosing a random cost for a civic to have
1, 2, 1, 3554416254, sync, Choosing a random cost for a civic to have
1, 2, 1, 2802067423, sync, Choosing a random cost for a civic to have
1, 2, 0, 3596950572, sync, Choosing a random cost for a civic to have
1, 1, 0, 229283573, sync, Choosing how many prerequisites for a civic to have
1, 100, 24, 3256818826, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 1051550459, sync, Choosing how many prerequisites for a civic to have
1, 1, 0, 3441282840, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 2941955441, sync, Choosing how many prerequisites for a civic to have
1, 200, 137, 551188310, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 2951033815, sync, Choosing how many prerequisites for a civic to have
1, 101, 59, 1772930244, sync, Choosing a random prerequisite for a civic to have
1, 1, 0, 2518396845, sync, Choosing how many prerequisites for a civic to have
1, 2, 0, 639546082, sync, Choosing a random prerequisite for a civic to have
1, 3, 1, 1381971571, sync, Choosing how many prerequisites for a civic to have
1, 300, 148, 1695770928, sync, Choosing a random prerequisite for a civic to have
1, 201, 180, 2121308585, sync, Choosing a random prerequisite for a civic to have
1, 2, 1, 3866696494, sync, Choosing a random cost for a tech to have
1, 2, 0, 3144468175, sync, Choosing a random cost for a tech to have
1, 2, 1, 1157490780, sync, Choosing a random cost for a tech to have
1, 2, 1, 3490719589, sync, Choosing a random cost for a tech to have
1, 2, 0, 2684337210, sync, Choosing a random cost for a tech to have
1, 2, 0, 1511588075, sync, Choosing a random cost for a tech to have
1, 1, 0, 1538207304, sync, Choosing how many prerequisites for a tech to have
1, 300, 199, 2103497953, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 2854052358, sync, Choosing how many prerequisites for a tech to have
1, 201, 171, 3104096455, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3668764404, sync, Choosing how many prerequisites for a tech to have
1, 102, 59, 1588911645, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 2518522002, sync, Choosing how many prerequisites for a tech to have
1, 300, 117, 33727075, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 1680572000, sync, Choosing how many prerequisites for a tech to have
1, 201, 160, 88489753, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 3430460382, sync, Choosing how many prerequisites for a tech to have
1, 102, 28, 527630783, sync, Choosing a random prerequisite for a tech to have
1, 3, 2, 1194991756, sync, Choosing how many prerequisites for a tech to have
1, 300, 209, 3253908437, sync, Choosing a random prerequisite for a tech to have
1, 201, 118, 3001001962, sync, Choosing a random prerequisite for a tech to have
1, 102, 32, 2539649755, sync, Choosing a random prerequisite for a tech to have
1, 1, 0, 1387182456, sync, Choosing how many prerequisites for a tech to have
1, 100, 15, 1538766929, sync, Choosing a random prerequisite for a tech to have
5, 35, 16, 2916760041, sync, Active Volcano Roll
5, 4990, 3131, 1992676974, sync, Random Event Roll
5, 1, 0, 2695233807, sync, GetNextBuyablePlot picker
5, 2, 1, 2610640284, sync, Random River
5, 1, 0, 2652081061, sync, GetNextBuyablePlot picker
5, 1, 0, 696052602, sync, Random River
5, 3, 1, 3561725739, sync, Random Direction
5, 2, 1, 1962151816, sync, GetNextBuyablePlot picker
5, 1, 0, 3017162017, sync, GetNextBuyablePlot picker
5, 2, 0, 2170438982, sync, City Build District Choice
5, 2, 0, 677577479, sync, Random River
5, 4200, 733, 2071895092, sync, Choosing a Goody Hut Type
5, 55, 49, 750291549, sync, Choosing a Sub Type
5, 10, 2, 3853086674, sync, Random Direction
5, 1, 0, 933415075, sync, Random River
5, 9, 0, 3666036640, sync, Random Direction
5, 2, 0, 259551065, sync, GetNextBuyablePlot picker
